,ID,AEP_MW
1213,,
1214,,
1215,,
1216,,
1217,,
1218,,
1219,,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1226,,
1227,,
1228,,
1229,,130.13126588700266
1230,,146.96585393039277
1231,,1714.3152634091343
1232,,7465.463528397158
1233,,6712.21656214705
1234,,1623.8419308525517
1235,,353.2022902741809
1236,,
1237,,
1238,,
1239,,
1240,,
1241,,
1242,,
1243,,
1244,,
1245,,
1246,,
1247,,
1248,,
1249,,
1250,,
1251,,
1252,,
1253,,130.214328445493
1254,,147.05966197686777
1255,,1715.4095078312357
1256,,7470.228720657132
1257,,6716.500958191252
1258,,1624.8784263053635
1259,,353.42773867579945
1260,,
1261,,
1262,,
1263,,
1264,,
1265,,
1266,,
1267,,
1268,,
1269,,
1270,,
1271,,
1272,,
1273,,
1274,,
1275,,
1276,,
1277,,130.29739100398336
1278,,147.15347002334275
1279,,1716.503752253337
1280,,7474.993912917103
1281,,6720.785354235453
1282,,1625.9149217581753
1283,,353.653187077418
1284,,
1285,,
1286,,
1287,,
1288,,
1289,,
1290,,
1291,,
1292,,
1293,,
1294,,
1295,,
1296,,
1297,,
1298,,
1299,,
1300,,
1301,,130.3804535624737
1302,,147.24727806981775
1303,,1717.597996675438
1304,,7479.759105177075
1305,,6725.069750279656
1306,,1626.9514172109875
1307,,353.8786354790366
1308,,
1309,,
1310,,
1311,,
1312,,
1313,,
1314,,
1315,,
1316,,
1317,,
1318,,
1319,,
1320,,
1321,,
1322,,
1323,,
1324,,
1325,,130.46351612096407
1326,,147.34108611629276
1327,,1718.6922410975396
1328,,7484.5242974370485
1329,,6729.354146323858
1330,,1627.9879126637993
1331,,354.1040838806552
1332,,
1333,,
1334,,
1335,,
1336,,
1337,,
1338,,
1339,,
1340,,
1341,,
1342,,
1343,,
1344,,
1345,,
1346,,
1347,,
1348,,
1349,,130.54657867945443
1350,,147.43489416276773
1351,,1719.7864855196408
1352,,7489.289489697019
1353,,6733.63854236806
1354,,1629.024408116611
1355,,354.32953228227376
1356,,
1357,,
1358,,
1359,,
1360,,
1361,,
1362,,
1363,,
1364,,
1365,,
1366,,
1367,,
1368,,
1369,,
1370,,
1371,,
1372,,
1373,,130.62964123794478
1374,,147.52870220924274
1375,,1720.880729941742
1376,,7494.054681956992
1377,,6737.922938412262
1378,,1630.0609035694229
1379,,354.5549806838923
1380,,
1381,,
1382,,
1383,,
1384,,
1385,,
1386,,
1387,,
1388,,
1389,,
1390,,
1391,,
1392,,
1393,,
1394,,
1395,,
1396,,
1397,,130.71270379643514
1398,,147.62251025571777
1399,,1721.9749743638436
1400,,7498.8198742169625
1401,,6742.207334456465
1402,,1631.097399022235
1403,,354.78042908551095
1404,,
1405,,
1406,,
1407,,
1408,,
1409,,
1410,,
1411,,
1412,,
1413,,
1414,,
1415,,
1416,,
1417,,
1418,,
1419,,
1420,,
1421,,130.7957663549255
1422,,147.71631830219275
1423,,1723.0692187859445
1424,,7503.585066476935
1425,,6746.491730500666
1426,,1632.1338944750469
1427,,355.0058774871295
1428,,
1429,,
1430,,
1431,,
1432,,
1433,,
1434,,
1435,,
1436,,
1437,,
1438,,
1439,,
1440,,
1441,,
1442,,
1443,,
1444,,
1445,,130.87882891341584
1446,,147.81012634866775
1447,,1724.163463208046
1448,,7508.350258736908
1449,,6750.776126544869
1450,,1633.1703899278589
1451,,355.23132588874813
1452,,
1453,,
1454,,
1455,,
1456,,
1457,,
1458,,
1459,,
1460,,
1461,,
1462,,
1463,,
1464,,
1465,,
1466,,
1467,,
1468,,
1469,,130.9618914719062
1470,,147.90393439514276
1471,,1725.2577076301473
1472,,7513.115450996879
1473,,6755.06052258907
1474,,1634.2068853806707
1475,,355.4567742903667
1476,,
1477,,
1478,,
1479,,
1480,,
1481,,
1482,,
1483,,
1484,,
1485,,
1486,,
1487,,
1488,,
1489,,
1490,,
1491,,
1492,,
1493,,131.04495403039655
1494,,147.99774244161773
1495,,1726.3519520522484
1496,,7517.880643256851
1497,,6759.344918633272
1498,,1635.2433808334824
1499,,355.68222269198526
1500,,
1501,,
1502,,
1503,,
1504,,
1505,,
1506,,
1507,,
1508,,
1509,,
1510,,
1511,,
1512,,
1513,,
1514,,
1515,,
1516,,
1517,,131.1280165888869
1518,,148.09155048809274
1519,,1727.44619647435
